borrower_id,ghana_card,hashed_mobile,credit_score,default_probability,last_score_date,num_active_loans,total_outstanding_balance,num_loans_past_due,max_days_past_due,num_past_defaults,months_since_last_default,avg_monthly_volume,avg_transaction_frequency,avg_airtime_topup_consistency,elec_on_time_count,elec_disconnections,total_applications_last_30_days,avg_loan_to_income_ratio,night_applications,last_activity_date
13,GHA-1000013M,c692369fd277805054442c37a2cd575bf68db0e961f2f86fac67631f45c99028,569,0.9921,2026-05-02,2,18444.00,0,0,0,,0.000000,1.0000,201.8000000000,,,,,,2026-02-18 07:13:55
14,GHA-1000014N,6d9d3ee7eb6fa4966ed78143580830caa88ed40cc64eac4022886a52d7d51ce5,571,0.4858,2026-05-02,2,5376.00,0,0,0,,0.000000,1.0000,,,,1,2.0504940000,0,2026-04-19 07:13:55
15,GHA-1000015O,fe32ba6d69b6d77061f0e8df6e900da980da12ed6b9a37ea98cefcb1fcd06384,823,0.3004,2026-05-02,2,14000.00,0,0,0,,0.000000,1.0000,,,,,,,2025-10-21
16,GHA-1000016P,dbfb4c3b86836b9e80d6ebcbbc64e20b01f7ed2506c3e24bd6cecd52bc12f8a7,656,0.3355,2026-05-02,2,2885.00,0,0,0,,52.330000,1.0000,,,,,,,2026-04-13 07:13:55
17,GHA-1000017Q,c25555ecf92e33cd8e2f6df25dd0e2e3f6b5c0970916467c3b0cd708deb25df2,705,0.6714,2026-05-02,2,4500.00,0,0,0,,0.000000,1.0000,,,,,,,2025-08-27
18,GHA-1000018R,adada68e85a68811c41ff09d044f3a2299d8b15bf308a8b41ce8a958ccacbf4e,383,0.7371,2026-05-02,2,219.00,0,0,0,,0.000000,1.0000,,0,0,,,,2026-03-09 07:13:55
19,GHA-1000019S,1a1b77d804b75acd9c9ea92d03853491cee888b7294afec52256c8257a2629cf,429,0.9614,2026-05-02,2,2666.00,2,215,0,,0.000000,1.0000,351.9300000000,,,1,1.9204550000,0,2026-03-16
20,GHA-1000020T,04ef59c94224ed42fa7642ab4c6e007d76f322df9a7d7a1030eb9d252e70b42b,357,0.6334,2026-05-02,2,230.00,0,0,0,,0.000000,1.0000,,,,,,,2026-05-05
21,GHA-1000021U,cd04f8964617bb80cb05d9e7f1ce690ed94294c3d625aea82d32032cbeb26a6e,771,0.3813,2026-05-02,2,766.00,1,90,1,20,0.000000,1.0000,,,,,,,2026-05-15
22,GHA-1000022V,b4116ae3423294bd6386ddca1524097eab8827d7c6b3758f87ff29dd4df6790f,486,0.5436,2026-05-02,2,1019.00,1,75,2,20,0.000000,1.0000,57.7300000000,0,1,,,,2025-12-25
23,GHA-1000023W,8f20ce23b0bed28a8849722f9c1404d909e02afcb5ba16f0f59fc321ce6d7af5,688,0.8973,2026-05-02,2,1883.00,1,60,1,20,0.000000,1.0000,,1,0,,,,2026-02-03 07:13:55
24,GHA-1000024X,39848b6f0155972cc26726c4eb03825517e136222f83f3240c93294b2bc14ceb,503,0.1567,2026-05-02,2,1467.00,1,30,2,19,72.280000,1.0000,,,,,,,2025-10-07
25,GHA-1000025Y,2b04aaad7b2cc4f93fdf980f7d1ad6bfa629c015c41d091dc5130ca6a764523b,671,0.9006,2026-05-02,2,10000.00,0,0,0,,0.000000,1.0000,,0,0,,,,2025-12-25 07:13:55
26,GHA-1000026Z,af9184fbd8d1583203a5edac594eaa5e11af61d781c6d96128db0ef3de194bd5,564,0.7019,2026-05-02,2,6569.00,0,0,1,,0.000000,1.0000,,1,0,,,,2025-10-22 07:13:55
27,GHA-1000027A1,46504371cccb710d039366bc25a501d5691d536e5abe40377987358013357ae4,337,0.2312,2026-05-02,2,2381.00,0,0,0,,104.790000,1.0000,,,,,,,2026-05-28
28,GHA-1000028B1,db4ec3d9746c20211f40a1e2ac3a8649b28c241a0d7282bd4d9ca944135e947c,825,0.0754,2026-05-02,2,3941.00,1,79,1,,298.670000,1.0000,,1,0,,,,2026-03-14
29,GHA-1000029C1,34ad1eafc8d6c66c5f4eaea7e4db562bb4ac4c9b9d765aef979020e25c89df8c,584,0.3524,2026-05-02,2,1735.00,0,0,1,1,0.000000,1.0000,,,,1,0.7222220000,0,2026-01-16 07:13:55
30,GHA-1000030D1,a3a74218f0452cce394f56aefedf16dc527e66cfb11d448e9d085a4660b83dbc,418,0.0164,2026-05-02,2,1721.00,1,203,0,,0.000000,1.0000,,,,,,,2025-10-22 07:13:55
31,GHA-1000031E1,0b22d060f3ee471e44d30acdaabfea2b61041f087d5a782912bd8d13d183be4b,541,0.1403,2026-05-02,2,717.00,1,30,1,18,0.000000,1.0000,,1,0,,,,2025-12-08
32,GHA-1000032F1,4dc998ac644c1ee085f9eb7a2599f668acb706e9f9ebdacb82aa7c90b3b38057,513,0.5179,2026-05-02,2,3584.00,1,45,0,,0.000000,1.0000,,,,,,,2026-03-17
33,GHA-1000033G1,1c857ebbd8b42217b36b4ea2585209f9028ef108bfd7853fd2eb22204d523a42,534,0.5767,2026-05-02,1,965.00,0,0,1,,143.620000,1.0000,,,,,,,2025-08-17 07:13:55
34,GHA-1000034H1,c6619372c3bc0e4eae940e044e5294edf716cc8e814eeb0c97e42f299056b54d,633,0.2961,2026-05-02,1,697.00,0,0,0,,424.060000,1.0000,,,,1,1.3120290000,0,2025-09-19
35,GHA-1000035I1,e92990f5995e627ddf4b823cf51395c9ef73fe4a1956dcf0b87646a3be08ceb6,666,0.4358,2026-05-02,1,739.00,0,0,0,,0.000000,1.0000,,,,,,,2026-02-22
36,GHA-1000036J1,b8ce43d55e9051df85c881812752e6d7fe2d92c06572fa9640801ce6d5f81e32,402,0.6157,2026-05-02,1,758.00,0,0,0,,0.000000,1.0000,,,,,,,2025-10-26 07:13:55
37,GHA-1000037K1,4a83c727768f5fa3af4bc57f192e0782c92b04aa046e5b0f4bfcebfb8ad0d1f4,589,0.7767,2026-05-02,1,0.00,0,0,0,,0.000000,1.0000,,,,,,,2025-12-24 07:13:55
38,GHA-1000038L1,e5e7af36f19e10c9dc0bffd98800a797dc0887ef16f3dd220ac4a8a6f008e118,470,0.2153,2026-05-02,1,399.00,0,0,0,,0.000000,1.0000,,1,0,,,,2026-05-02
39,GHA-1000039M1,07bb62297dec29f54320df0e29ea28c1d7648f0b27557c2ab192ae70feded1d7,382,0.1006,2026-05-02,1,0.00,1,149,0,,0.000000,1.0000,375.4800000000,,,,,,2026-01-12 07:13:55
40,GHA-1000040N1,d12b2f87894b9735461bf9f6b1e89c487b2a540e53eb00a1a98f486ccc269622,330,0.9740,2026-05-02,1,0.00,0,0,0,,0.000000,1.0000,504.4700000000,,,,,,2026-03-25 07:13:55
41,,97bcbbda7c8ea93bd7573d129e4c20b1099187075b669e79de004fd59e6867c3,714,0.4205,2026-05-02,2,307.00,0,0,0,,0.000000,1.0000,,0,0,,,,2025-11-27
42,,b86b501f6e9cf7a62974fe3ae5719029886310d0f9b3d3f6622adf0625bbc650,764,0.9524,2026-05-02,2,15203.00,0,0,0,,404.060000,1.0000,,0,1,,,,2026-03-02
43,,a3b006d65a443aeb40144c56b19994ea9b573aed137368e70de672845eaa0a22,428,0.3103,2026-05-02,2,25790.00,1,10,0,,0.000000,1.0000,363.7300000000,,,,,,2026-05-10
44,,d11aa96808e753ada2843624fe78a7e386746e805573c48fbf0c7d95b9464615,768,0.3244,2026-05-02,2,1297.00,1,30,1,19,233.060000,1.0000,,0,0,1,1.4475370000,0,2026-03-08 07:13:55
45,,0d3e6e2b82f4b21d2b539b8983cc7d7b28f21b2caa2f525e1467053cdb6c4006,338,0.3701,2026-05-02,2,25887.00,0,0,0,,0.000000,1.0000,,,,,,,2025-07-26
46,,2e61f8355303065ec97f8c5b5b46a979665b5d7b66e58870026b717041d395d0,655,0.1126,2026-05-02,2,882.00,0,0,0,,0.000000,1.0000,,,,,,,2025-11-29
47,,056dfd624ebc56eb59a1206b7ea9bae4522b63ad82d334790a0710ccd3190ceb,646,0.8090,2026-05-02,2,20218.00,1,36,0,,121.220000,1.0000,,,,,,,2026-03-12
48,,2bf9ce514cc070d4df05b8db7817810621ae89a268a1f7db0e8d5fd39a22a6e6,386,0.3568,2026-05-02,2,4000.00,0,0,0,,0.000000,1.0000,,,,,,,2026-03-01
49,,6b05f045bd531d3e5d8b730d8d88053bde90d3eb5cf0d7ce8e4d5db6ed022ace,472,0.4976,2026-05-02,2,3079.00,1,180,2,21,359.760000,1.0000,,,,,,,2026-03-27
50,,19c534d7f297cde7cc2806b40800e13f1a4faf1aa452fc6186f0c154922adbaa,601,0.2430,2026-05-02,2,1200.00,1,150,1,23,85.380000,1.0000,,0,1,,,,2026-04-24
